pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
36299RU,83.230000,0.000000,1,0.100000,1,83.230000,0.110655,0.300000,0.106598,CAT_UNKNOWN_HEAVY
CP7937G,83.170000,0.000000,1,0.100000,1,83.170000,0.110498,0.300000,0.106575,CAT_UNKNOWN_HEAVY
DPR78286501,82.530000,0.000000,1,0.100000,1,82.530000,0.108821,0.300000,0.106323,CAT_UNKNOWN_HEAVY
50145717001FRE,82.440000,0.000000,1,0.100000,1,82.440000,0.108584,0.300000,0.106288,CAT_UNKNOWN_HEAVY
KNVM4M32NPROM,82.190000,0.000000,1,0.100000,1,82.190000,0.107924,0.300000,0.106189,CAT_UNKNOWN_HEAVY
MS5145383,82.180000,0.000000,1,0.100000,1,82.180000,0.107898,0.300000,0.106185,CAT_UNKNOWN_HEAVY
9G4KM,81.610000,0.000000,1,0.100000,1,81.610000,0.106387,0.300000,0.105958,CAT_UNKNOWN_HEAVY
100006523FRE,81.550000,0.000000,1,0.100000,1,81.550000,0.106227,0.300000,0.105934,CAT_UNKNOWN_HEAVY
50138979001FRE,81.290000,0.000000,1,0.100000,1,81.290000,0.105534,0.300000,0.105830,CAT_UNKNOWN_HEAVY
5130071501FRE,81.290000,0.000000,1,0.100000,1,81.290000,0.105534,0.300000,0.105830,CAT_UNKNOWN_HEAVY
714766005FRE,80.500000,0.000000,1,0.100000,1,80.500000,0.103413,0.300000,0.105512,CAT_UNKNOWN_HEAVY
HEPZA04,80.040000,0.000000,1,0.100000,1,80.040000,0.102169,0.300000,0.105325,CAT_UNKNOWN_HEAVY
355661002FRE,79.960000,0.000000,1,0.100000,1,79.960000,0.101951,0.300000,0.105293,CAT_UNKNOWN_HEAVY
TC808EIS1051IV,79.380000,0.000000,1,0.100000,1,79.380000,0.100371,0.300000,0.105056,CAT_UNKNOWN_HEAVY
3RS485A,79.200000,0.000000,1,0.100000,1,79.200000,0.099878,0.300000,0.104982,CAT_UNKNOWN_HEAVY
548706512000FRE,79.200000,0.000000,1,0.100000,1,79.200000,0.099878,0.300000,0.104982,CAT_UNKNOWN_HEAVY
548706512101FRE,79.200000,0.000000,1,0.100000,1,79.200000,0.099878,0.300000,0.104982,CAT_UNKNOWN_HEAVY
H546720,79.200000,0.000000,1,0.100000,1,79.200000,0.099878,0.300000,0.104982,CAT_UNKNOWN_HEAVY
50133976001FRE,78.940000,0.000000,1,0.100000,1,78.940000,0.099164,0.300000,0.104875,CAT_UNKNOWN_HEAVY
50124323001FRE,78.680000,0.000000,1,0.100000,1,78.680000,0.098447,0.300000,0.104767,CAT_UNKNOWN_HEAVY
V5833C4003,78.570000,0.000000,1,0.100000,1,78.570000,0.098143,0.300000,0.104722,CAT_UNKNOWN_HEAVY
50138986001FRE,78.210000,0.000000,1,0.100000,1,78.210000,0.097146,0.300000,0.104572,CAT_UNKNOWN_HEAVY
RT10PWRCABLEEU,78.190000,0.000000,1,0.100000,1,78.190000,0.097091,0.300000,0.104564,CAT_UNKNOWN_HEAVY
HSTND2271F,77.850000,0.000000,1,0.100000,1,77.850000,0.096144,0.300000,0.104422,CAT_UNKNOWN_HEAVY
SCSCDUPLEX91255,77.780000,0.000000,1,0.100000,1,77.780000,0.095949,0.300000,0.104392,CAT_UNKNOWN_HEAVY
LK6028001,77.022075,0.000000,1,0.100000,1,77.022075,0.093823,0.300000,0.104073,CAT_UNKNOWN_HEAVY
FPC2,142.260182,0.000000,2,0.200000,3,47.420061,0.000000,0.220000,0.104000,
2CDS252001R0324,153.430000,0.000000,1,0.100000,2,76.715000,0.092955,0.300000,0.103943,CAT_UNKNOWN_HEAVY
280910B10XL,76.200000,0.000000,1,0.100000,1,76.200000,0.091492,0.300000,0.103724,CAT_UNKNOWN_HEAVY
36142RU,75.220000,0.000000,1,0.100000,1,75.220000,0.088682,0.300000,0.103302,CAT_UNKNOWN_HEAVY
0B47091,74.420000,0.000000,1,0.100000,1,74.420000,0.086360,0.300000,0.102954,CAT_UNKNOWN_HEAVY
2318767W10,74.210000,0.000000,1,0.100000,1,74.210000,0.085746,0.300000,0.102862,CAT_UNKNOWN_HEAVY
236254001FRE,74.210000,0.000000,1,0.100000,1,74.210000,0.085746,0.300000,0.102862,CAT_UNKNOWN_HEAVY
SL760TYPT,74.210000,0.000000,1,0.100000,1,74.210000,0.085746,0.300000,0.102862,CAT_UNKNOWN_HEAVY
PB22,73.700000,0.000000,1,0.100000,1,73.700000,0.084249,0.300000,0.102637,CAT_UNKNOWN_HEAVY
PP11L,118.160000,0.000000,1,0.100000,1,118.160000,0.186750,0.220000,0.102013,
50139630001FRE,92.300000,0.000000,1,0.100000,1,92.300000,0.133116,0.260000,0.101967,
5020248101FRE,72.190000,0.000000,1,0.100000,1,72.190000,0.079754,0.300000,0.101963,CAT_UNKNOWN_HEAVY
FTP25,183.000000,0.000000,1,0.100000,2,91.500000,0.131226,0.260000,0.101684,
1035125VS,71.500000,0.000000,1,0.100000,1,71.500000,0.077668,0.300000,0.101650,CAT_UNKNOWN_HEAVY
50125630001FRE,71.440000,0.000000,1,0.100000,1,71.440000,0.077486,0.300000,0.101623,CAT_UNKNOWN_HEAVY
50138980001FRE,71.440000,0.000000,1,0.100000,1,71.440000,0.077486,0.300000,0.101623,CAT_UNKNOWN_HEAVY
2MHK,70.710000,0.000000,1,0.100000,1,70.710000,0.075255,0.300000,0.101288,CAT_UNKNOWN_HEAVY
50134036011FRE,70.710000,0.000000,1,0.100000,1,70.710000,0.075255,0.300000,0.101288,CAT_UNKNOWN_HEAVY
50135432001FRE,70.710000,0.000000,1,0.100000,1,70.710000,0.075255,0.300000,0.101288,CAT_UNKNOWN_HEAVY
D353913,70.710000,0.000000,1,0.100000,1,70.710000,0.075255,0.300000,0.101288,CAT_UNKNOWN_HEAVY
V5833A2076,70.590000,0.000000,1,0.100000,1,70.590000,0.074887,0.300000,0.101233,CAT_UNKNOWN_HEAVY
PIP006,70.440000,0.000000,1,0.100000,1,70.440000,0.074425,0.300000,0.101164,CAT_UNKNOWN_HEAVY
50139536002FRE,113.790000,0.000000,1,0.100000,1,113.790000,0.178567,0.220000,0.100785,
3032198RU,69.520000,0.000000,1,0.100000,1,69.520000,0.071570,0.300000,0.100735,CAT_UNKNOWN_HEAVY
FPC6,112.872000,0.000000,1,0.100000,1,112.872000,0.176808,0.220000,0.100521,
5120267202FRE,67.790000,0.000000,1,0.100000,1,67.790000,0.066098,0.300000,0.099915,CAT_UNKNOWN_HEAVY
DFVMND401R,67.500000,0.000000,1,0.100000,1,67.500000,0.065167,0.300000,0.099775,CAT_UNKNOWN_HEAVY
1011071HS,67.400000,0.000000,1,0.100000,1,67.400000,0.064845,0.300000,0.099727,CAT_UNKNOWN_HEAVY
CWSTWRW5,67.110000,0.000000,1,0.100000,1,67.110000,0.063909,0.300000,0.099586,CAT_UNKNOWN_HEAVY
BA1AP,66.310000,0.000000,1,0.100000,1,66.310000,0.061305,0.300000,0.099196,CAT_UNKNOWN_HEAVY
TR42H,66.000000,0.000000,1,0.100000,1,66.000000,0.060287,0.300000,0.099043,CAT_UNKNOWN_HEAVY
