part_number,raw_photo_path,raw_width,raw_height,min_dimension,bucket,enhanced_photo_path,enhanced_generated,photo_ready_for_future_cloud,next_action
KZDS,D:\BIRETOS\projects\biretos-automation\downloads\photos\KZDS.jpg,1200,600,600,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\KZDS__catalog_placeholder_v1__44dc20bf.jpg,True,True,keep_enhanced
L-VOM40A_EN,D:\BIRETOS\projects\biretos-automation\downloads\photos\L-VOM40A_EN.jpg,400,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\L-VOM40A_EN__catalog_placeholder_v1__7e7b1e04.jpg,True,True,keep_enhanced
LA5496411314,D:\BIRETOS\projects\biretos-automation\downloads\photos\LA5496411314.jpg,1280,720,720,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\LA5496411314__catalog_placeholder_v1__4b4effdc.jpg,True,True,keep_enhanced
LATITUDE,D:\BIRETOS\projects\biretos-automation\downloads\photos\LATITUDE.jpg,1280,720,720,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\LATITUDE__catalog_placeholder_v1__38664119.jpg,True,True,keep_enhanced
LCD,D:\BIRETOS\projects\biretos-automation\downloads\photos\LCD.jpg,240,180,180,tiny_quarantine,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\LCD__catalog_placeholder_v1__4bbc7348.jpg,True,False,re_search_required
LEONARDO-OT,D:\BIRETOS\projects\biretos-automation\downloads\photos\LEONARDO-OT.jpg,5877,1674,1674,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\LEONARDO-OT__catalog_placeholder_v1__70344fe1.jpg,True,True,keep_enhanced
LF20-3P65-5M,D:\BIRETOS\projects\biretos-automation\downloads\photos\LF20-3P65-5M.jpg,900,825,825,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\LF20-3P65-5M__catalog_placeholder_v1__360c46df.jpg,True,True,keep_enhanced
LUX,D:\BIRETOS\projects\biretos-automation\downloads\photos\LUX.jpg,275,183,183,tiny_quarantine,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\LUX__catalog_placeholder_v1__d272b98c.jpg,True,False,re_search_required
M200E-SMB,D:\BIRETOS\projects\biretos-automation\downloads\photos\M200E-SMB.jpg,250,250,250,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\M200E-SMB__catalog_placeholder_v1__9735ee8e.jpg,True,False,upscale_then_review
M7294Q1015_U,D:\BIRETOS\projects\biretos-automation\downloads\photos\M7294Q1015_U.jpg,150,150,150,tiny_quarantine,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\M7294Q1015_U__catalog_placeholder_v1__876bc710.jpg,True,False,re_search_required
MAU8_MS,D:\BIRETOS\projects\biretos-automation\downloads\photos\MAU8_MS.jpg,680,680,680,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\MAU8_MS__catalog_placeholder_v1__eafa1153.jpg,True,True,keep_enhanced
