pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
900TSS0001,2792.358974,0.268884,1,0.100000,2,1396.179487,0.722986,0.300000,0.292557,CAT_UNKNOWN_HEAVY
IMC21SSC,2152.538462,0.228202,1,0.100000,1,2152.538462,0.816990,0.300000,0.292419,CAT_UNKNOWN_HEAVY
N052302POS,858.205128,0.084452,1,0.100000,1,858.205128,0.617311,0.700000,0.292155,
CK65L0ND8C214E,2138.846154,0.227205,1,0.100000,1,2138.846154,0.815605,0.300000,0.291862,CAT_UNKNOWN_HEAVY
1012021B,833.974359,0.079975,1,0.100000,1,833.974359,0.611091,0.710000,0.291655,
P2421,2131.858974,0.226693,1,0.100000,1,2131.858974,0.814894,0.300000,0.291577,CAT_UNKNOWN_HEAVY
EDA511B623SOGRK,2130.935897,0.226626,1,0.100000,1,2130.935897,0.814800,0.300000,0.291539,CAT_UNKNOWN_HEAVY
CCSDRX01,2130.012821,0.226558,1,0.100000,1,2130.012821,0.814706,0.300000,0.291501,CAT_UNKNOWN_HEAVY
VQ450MA1015,850.166667,0.082981,1,0.100000,1,850.166667,0.615267,0.700000,0.291333,
M5ARP01FGS0261,2106.589744,0.224829,1,0.100000,1,2106.589744,0.812305,0.300000,0.290536,CAT_UNKNOWN_HEAVY
JTMCR5532,1931.903846,0.211297,2,0.200000,2,965.951923,0.642993,0.300000,0.290403,CAT_UNKNOWN_HEAVY
EDA510B623SOGRK,2098.038462,0.224193,1,0.100000,1,2098.038462,0.811422,0.300000,0.290181,CAT_UNKNOWN_HEAVY
HVAC2322P220,1054.384615,0.116635,1,0.100000,1,1054.384615,0.662015,0.600000,0.290124,
1202G2,2095.961538,0.224039,1,0.100000,1,2095.961538,0.811207,0.300000,0.290095,CAT_UNKNOWN_HEAVY
H58201000,2094.384615,0.223921,1,0.100000,1,2094.384615,0.811043,0.300000,0.290029,CAT_UNKNOWN_HEAVY
P2PLWL,2237.333333,0.234242,2,0.200000,3,745.777778,0.586820,0.300000,0.290008,CAT_UNKNOWN_HEAVY
EDA61KCB2,1922.935897,0.210570,2,0.200000,2,961.467949,0.641982,0.300000,0.289997,CAT_UNKNOWN_HEAVY
TC808ES1002,2226.358974,0.233474,2,0.200000,3,742.119658,0.585752,0.300000,0.289579,CAT_UNKNOWN_HEAVY
20A2F1RA531,2695.358974,0.263357,1,0.100000,2,1347.679487,0.715308,0.300000,0.289471,CAT_UNKNOWN_HEAVY
100PK,2271.277065,0.236596,1,0.100000,1,2271.277065,0.828650,0.260000,0.289106,
RM7890B1014U,2067.397436,0.221894,1,0.100000,1,2067.397436,0.808227,0.300000,0.288897,CAT_UNKNOWN_HEAVY
BFHWC4PN160125,2065.820513,0.221774,1,0.100000,1,2065.820513,0.808061,0.300000,0.288830,CAT_UNKNOWN_HEAVY
L002699104,805.884615,0.074619,1,0.100000,1,805.884615,0.603651,0.710000,0.288664,
2251CTLE64IV,2057.846154,0.221170,1,0.100000,1,2057.846154,0.807221,0.300000,0.288493,CAT_UNKNOWN_HEAVY
CN51AN1KN00W2000,2041.102564,0.219893,1,0.100000,1,2041.102564,0.805447,0.300000,0.287780,CAT_UNKNOWN_HEAVY
6AV21240JC01,2032.923077,0.219265,1,0.100000,1,2032.923077,0.804575,0.300000,0.287429,CAT_UNKNOWN_HEAVY
WSC2960X48TSLR,2441.576923,0.247899,1,0.100000,1,2441.576923,0.844350,0.220000,0.287417,
50136425001K1TRU,1848.576029,0.204405,3,0.300000,3,616.192010,0.545373,0.220000,0.287348,
1011262H5,1863.923077,0.205697,2,0.200000,2,931.961538,0.635214,0.300000,0.287276,CAT_UNKNOWN_HEAVY
11ASFBP,2027.919107,0.218880,1,0.100000,1,2027.919107,0.804040,0.300000,0.287214,CAT_UNKNOWN_HEAVY
V5011R1026,799.666667,0.073408,1,0.100000,1,799.666667,0.601969,0.700000,0.285988,
V071500,1836.487179,0.203379,2,0.200000,2,918.243590,0.631994,0.300000,0.285982,CAT_UNKNOWN_HEAVY
ET4243L,1998.628205,0.216605,1,0.100000,1,1998.628205,0.800881,0.300000,0.285944,CAT_UNKNOWN_HEAVY
EP10427404,1995.525641,0.216362,1,0.100000,1,1995.525641,0.800544,0.300000,0.285808,CAT_UNKNOWN_HEAVY
EP10425882,873.679487,0.087246,1,0.100000,1,873.679487,0.621191,0.660000,0.285715,
ML7420A6009,1510.369231,0.172817,3,0.300000,3,503.456410,0.501496,0.300000,0.285711,CAT_UNKNOWN_HEAVY
ROL15305821,1988.564103,0.215816,1,0.100000,1,1988.564103,0.799785,0.300000,0.285503,CAT_UNKNOWN_HEAVY
2CDS252001R0104,2984.641026,0.279294,1,0.100000,3,994.880342,0.649400,0.300000,0.285163,CAT_UNKNOWN_HEAVY
WC5APRO1SGS21401,771.012821,0.067704,1,0.100000,1,771.012821,0.594046,0.710000,0.284803,
T7560B1024,1968.910256,0.214263,1,0.100000,1,1968.910256,0.797628,0.300000,0.284636,CAT_UNKNOWN_HEAVY
FEUSI0002,1962.461538,0.213750,1,0.100000,1,1962.461538,0.796916,0.300000,0.284350,CAT_UNKNOWN_HEAVY
FX808433,2091.435897,0.223701,2,0.200000,3,697.145299,0.572177,0.300000,0.284122,CAT_UNKNOWN_HEAVY
8CTAIXA1,1953.935897,0.213070,1,0.100000,1,1953.935897,0.795970,0.300000,0.283970,CAT_UNKNOWN_HEAVY
6510HB,1952.923077,0.212989,1,0.100000,1,1952.923077,0.795858,0.300000,0.283925,CAT_UNKNOWN_HEAVY
1012011A1,760.858974,0.065631,1,0.100000,1,760.858974,0.591167,0.710000,0.283646,
C7061F1003,1941.487179,0.212071,1,0.100000,1,1941.487179,0.794582,0.300000,0.283412,CAT_UNKNOWN_HEAVY
S07213000,1948.589744,0.212642,2,0.200000,2,974.294872,0.644860,0.260000,0.283154,
900TEK0101,2052.871795,0.220791,2,0.200000,3,684.290598,0.568135,0.300000,0.282497,CAT_UNKNOWN_HEAVY
XMAP4P,1760.576923,0.196780,2,0.200000,2,880.288462,0.622828,0.300000,0.282297,CAT_UNKNOWN_HEAVY
50122289003FRE,1913.320513,0.209786,1,0.100000,1,1913.320513,0.791409,0.300000,0.282136,CAT_UNKNOWN_HEAVY
PS188,1911.871795,0.209668,1,0.100000,1,1911.871795,0.791244,0.300000,0.282070,CAT_UNKNOWN_HEAVY
V5832A4008,985.230769,0.106030,1,0.100000,2,492.615385,0.496769,0.700000,0.281626,
900PRO0200,1901.512821,0.208818,1,0.100000,1,1901.512821,0.790065,0.300000,0.281596,CAT_UNKNOWN_HEAVY
DVXBR2100U4,2448.205128,0.248323,1,0.100000,2,1224.102564,0.694424,0.300000,0.281077,CAT_UNKNOWN_HEAVY
H4W2PER2V,1890.038462,0.207872,1,0.100000,1,1890.038462,0.788750,0.300000,0.281068,CAT_UNKNOWN_HEAVY
MTL4549,1884.397436,0.207405,1,0.100000,1,1884.397436,0.788101,0.300000,0.280807,CAT_UNKNOWN_HEAVY
D354101,1730.038462,0.194045,2,0.200000,2,865.019231,0.619028,0.300000,0.280770,CAT_UNKNOWN_HEAVY
BWC2RXRU,669.500000,0.045635,1,0.100000,1,669.500000,0.563390,0.750000,0.280481,
9202ETSHN1,1874.910256,0.206616,1,0.100000,1,1874.910256,0.787005,0.300000,0.280366,CAT_UNKNOWN_HEAVY
W9190MC,1719.138462,0.193057,2,0.200000,2,859.569231,0.617655,0.300000,0.280218,CAT_UNKNOWN_HEAVY
NENICS02,2246.474359,0.234880,1,0.100000,1,2246.474359,0.826266,0.220000,0.280148,
50147634001FRE,1866.371795,0.205902,1,0.100000,1,1866.371795,0.786014,0.300000,0.279968,CAT_UNKNOWN_HEAVY
DPTE500D,988.221154,0.106504,2,0.200000,2,494.110577,0.497427,0.540000,0.279890,
04230A1025,1863.782051,0.205685,1,0.100000,1,1863.782051,0.785713,0.300000,0.279847,CAT_UNKNOWN_HEAVY
900TCK0200,1410.192308,0.162089,3,0.300000,3,470.064103,0.486594,0.300000,0.279720,CAT_UNKNOWN_HEAVY
CRT6,1557.194056,0.177590,3,0.300000,4,389.298514,0.445656,0.300000,0.279005,CAT_UNKNOWN_HEAVY
IMC101MST,1842.474359,0.203888,1,0.100000,1,1842.474359,0.783216,0.300000,0.278843,CAT_UNKNOWN_HEAVY
EDS316SSSC,1829.153846,0.202754,1,0.100000,1,1829.153846,0.781640,0.300000,0.278210,CAT_UNKNOWN_HEAVY
VQ440MA1014,731.089744,0.059392,1,0.100000,1,731.089744,0.582500,0.700000,0.278162,
MAU8MS,1678.858974,0.189350,2,0.200000,2,839.429487,0.612507,0.300000,0.278149,CAT_UNKNOWN_HEAVY
L002699304,711.217949,0.055084,1,0.100000,1,711.217949,0.576516,0.710000,0.277757,
STT830T5UDG10TR050,727.102564,0.058537,1,0.100000,1,727.102564,0.581313,0.700000,0.277685,
V5421B1033,726.948718,0.058504,1,0.100000,1,726.948718,0.581267,0.700000,0.277667,
ROL15305822,1809.461538,0.201062,1,0.100000,1,1809.461538,0.779290,0.300000,0.277265,CAT_UNKNOWN_HEAVY
50134567003FRE,791.717949,0.071847,1,0.100000,1,791.717949,0.599800,0.660000,0.277116,
FX808338,1925.397436,0.210770,2,0.200000,3,641.799145,0.554215,0.300000,0.276902,CAT_UNKNOWN_HEAVY
H3W2GR1V,2321.846154,0.240039,1,0.100000,2,1160.923077,0.682917,0.300000,0.276451,CAT_UNKNOWN_HEAVY
S05010SW1,715.307692,0.055981,1,0.100000,1,715.307692,0.577761,0.700000,0.276257,
S0700400,1958.974359,0.213472,1,0.100000,1,1958.974359,0.796529,0.260000,0.276195,
R210611004,1856.717949,0.205092,3,0.300000,7,265.245421,0.362339,0.300000,0.276133,CAT_UNKNOWN_HEAVY
VM3D,1785.756410,0.199000,1,0.100000,1,1785.756410,0.776426,0.300000,0.276114,CAT_UNKNOWN_HEAVY
MM41,1782.564103,0.198720,1,0.100000,1,1782.564103,0.776038,0.300000,0.275958,CAT_UNKNOWN_HEAVY
PROFIT78,1596.692308,0.181506,2,0.200000,2,798.346154,0.601611,0.309647,0.275698,
